MPC,a,sigma_a,e,sigma_e,i,sigma_i,aop,sigma_aop,lan,sigma_lan,T_p,sigma_T,q,sigma_q,d,sigma_d,delta,sigma_delta,m_r,sigma_m_r,NUNIQUE,NDETECT,CHI2,x,y,z,vx,vy,vz,Sigma_x_x,Sigma_x_y,Sigma_x_z,Sigma_x_vx,Sigma_x_vy,Sigma_x_vz,Sigma_y_y,Sigma_y_z,Sigma_y_vx,Sigma_y_vy,Sigma_y_vz,Sigma_z_z,Sigma_z_vx,Sigma_z_vy,Sigma_z_vz,Sigma_vx_vx,Sigma_vx_vy,Sigma_vx_vz,Sigma_vy_vy,Sigma_vy_vz,Sigma_vz_vz,Class,Notes,H_g,sig_g,H_r,sig_r,H_i,sig_i,H_z,sig_z,g-r,r-i,r-z
b'1997 RT5',41.30493934,0.00193741,0.02570883,4.397e-05,12.7336892,0.00010052,18.62136958,0.27656068,163.75249874,0.0002,104395.31292273,80.60194276,40.243037707640035,0.0003840579075426996,42.42337978,0.00052528,42.36243329,0.0005131,23.43453625,0.06511927,11,14,24.92336,41.886293924,6.173221055,-1.4161488491,-0.1320766857,0.924752488,0.1914001302,2.6914772545452064e-07,4.1794072409403694e-08,-9.77327387718305e-09,4.090171865318033e-08,1.20019461215846e-08,-4.5368500111692303e-10,6.610523655856721e-09,-1.4983359911071307e-09,7.295717622731743e-09,2.005774535184629e-09,-1.0573094817057913e-10,3.7398487625926005e-10,-1.3107803215434558e-09,-4.0947389072398135e-10,9.398520827929059e-12,1.4717766567232193e-08,3.1073471706237703e-09,-3.86640541322822e-10,7.31948399157148e-10,-6.820354380854278e-11,1.5589103418241052e-11,b'Classical',b'',7.691142813323536,0.10747087054386814,7.041844097858489,0.0755849279614205,6.7114883641448895,0.06947907555575722,6.721296183006482,0.1113155638799088,0.6492987154650472,0.33035573371360183,0.32054791485201
b'1999 RB216',47.54693131,0.00102254,0.29236585,1.278e-05,12.68793084,5.036e-05,208.67885604,0.00770772,175.72386303,0.00013499,56776.39067755,1.34016249,33.645832429571826,0.0013304629165758744,33.38326075,0.00010554,33.66016217,8.53e-05,22.41803573,0.02364225,18,30,29.91334,29.7100105434,15.625777331,2.4813048017,-0.5635070399,1.0742552597,0.2140398547,8.666936322466563e-09,4.580950872673932e-09,7.012413693476835e-10,-3.735756918505895e-10,2.2503048919251674e-10,5.0117576587005614e-11,2.426790398839157e-09,3.7113715945010655e-10,-1.562348979158427e-10,1.3990862351469483e-10,2.945155169210452e-11,5.993660340614423e-11,-2.1236682207012314e-11,2.2470320260784054e-11,6.024985714223725e-12,1.149519861591511e-09,5.185477314427252e-10,7.725620542109935e-11,2.540229302567915e-10,3.839322150395631e-11,7.440391596909825e-12,b'Resonant 2:1',b'',7.885743005295664,0.0464798083272893,7.084024978221171,0.03191642022415265,6.7667709362291735,0.033188260806347146,6.652716124349299,0.04755483996126325,0.8017180270744917,0.31725404199199775,0.4313088538718727
b'1999 RG215',46.39353702,0.00407033,0.07109221,0.00017478,0.24203434,0.0001111,114.15700339,0.11789296,292.38916861,0.05999675,71219.18380948,26.01129649,43.09531807268823,0.01117115465670002,44.28522997,0.0006896,44.10663725,0.00068817,23.75095743,0.09119263,8,9,20.08863,44.0619949874,-1.8808191669,-0.6313214634,-0.00628987,0.8890967165,0.3871442706,4.745329800060349e-07,-2.778330161928806e-08,-1.0031127559460105e-08,-3.765397944979831e-08,1.369348082397816e-08,5.800840172107498e-09,1.9610475049475277e-09,6.998546703049812e-10,5.12662179915259e-09,-9.858973647049813e-10,-3.9665840191599515e-10,3.367330696758132e-10,2.0697901776456237e-09,-3.594382198663003e-10,-1.7088487200923876e-10,3.608769606926016e-08,-2.9027964296364744e-09,-1.1054112489459e-09,5.169197702453862e-10,2.0281086846771713e-10,1.0535494398802582e-10,b'Classical',b'',8.168538506884877,0.15859775486747038,7.264396704058855,0.12310637953647648,7.0322455596363,0.12831694992111492,6.464820470015303,0.21456327672015912,0.9041418028260239,0.23215114442255907,0.7995762340435496
b'1999 RK215',39.38363198,0.00292529,0.13894426,0.00018285,11.46171308,0.00017887,95.04110157,0.17443361,137.51867204,0.0028185,20383.21251697,55.5193837,33.91150256829676,0.00867409320573254,43.82514857,0.00109434,44.19126279,0.00086833,24.00547572,0.07796634,8,9,11.40454,38.5925800101,21.5260296876,0.3324473706,-0.3623432502,0.7673166952,0.2554513453,8.936868656696888e-07,5.213693013554341e-07,1.0102018058164372e-08,-3.192317357173256e-07,-1.8453399532394816e-07,-3.1870106402378455e-09,3.051681473155707e-07,6.0637259190755145e-09,-1.9120563434616825e-07,-1.1125728420385494e-07,-2.059939316416701e-09,4.917476222466334e-10,-5.086783315418086e-09,-3.0974934296566365e-09,-2.474777265095216e-10,1.580021026120308e-07,9.595375207993963e-08,2.8989048965773672e-09,5.873226142850304e-08,1.8617362046279525e-09,1.6174582254397963e-10,b'Resonant 3:2',"b'3,2,-4,0,1,0'",8.38275160520426,0.18832690350216985,7.6062689119386615,0.1351415925531904,7.379575083820216,0.1462256609449633,7.004428722448894,0.18833668608502954,0.7764826932655988,0.22669382811844901,0.6018401894897704
b'1999 RN215',43.1653078,0.00124325,0.07348575,8.621e-05,12.41009409,8.312e-05,102.5917587,0.09118942,140.65267938,0.00092212,17364.36146877,30.50115585,39.99327263452845,0.004060009100107399,45.37733078,0.00035128,45.6579436,0.00028101,23.27211858,0.0476267,15,23,36.56187,39.8493994257,22.2854634064,-0.1769173381,-0.3870159853,0.7782280711,0.2456979788,9.467961503774862e-08,5.2129390782802156e-08,-1.035141226412663e-09,-9.758389181039034e-09,-3.462519184159901e-09,5.263099358305838e-10,2.8728354106980296e-08,-5.684711479369437e-10,-5.065731506876994e-09,-1.7332465532452468e-09,2.8835209296918156e-10,2.6702390164665166e-11,1.7382496405388024e-10,7.67281294428953e-11,-9.703961144219982e-12,1.4467987766652338e-08,8.144257738150451e-09,-1.1843670941881156e-10,4.646089892881107e-09,-5.6389540088792014e-11,1.4353312928514724e-11,b'Classical',b'',7.705368482518841,0.10404847974778017,6.576231352545731,0.05197609985395054,6.174369941204274,0.04723748174161743,6.008817792090058,0.07054223419594967,1.129137129973112,0.40186141134145625,0.5674135604556713
b'2000 OL67',45.08684501,0.00192265,0.10949366,6.651e-05,1.9825321,8.021e-05,312.93876497,0.02133849,322.66383751,0.00153111,36501.43964221,3.95298056,40.15012121254555,0.0034513377525600317,43.9729748,0.00048014,43.73256919,0.00047701,23.34495687,0.0532304,16,25,50.57637,43.6074685852,-3.2653097922,-0.5138516826,0.1710293901,0.8590238276,0.4048186903,2.2883191385623635e-07,-1.963195381155012e-08,-3.7117279226835164e-09,-1.2841777005027032e-08,5.7661402435373415e-09,2.3818990788654823e-09,1.7171262838756896e-09,3.290703001548503e-10,1.3897070138872448e-09,-5.183019199352197e-10,-2.0831968422994647e-10,7.507048580183877e-11,3.419013855034248e-10,-1.0425655726635591e-10,-4.093594394014058e-11,4.346966291313716e-09,-6.144975355587972e-10,-1.8355499992300227e-10,1.7122847473936257e-10,6.403008910693446e-11,2.8069131872326126e-11,b'Classical',b'',7.941503032287832,0.120850370306817,6.922351127309286,0.06724573906380832,6.474230477863186,0.05633939719616344,6.336306642591792,0.09595847924413503,1.0191519049785436,0.44812064944610147,0.5860444847174953
b'2000 QC226',44.09590185,0.0024219,0.05253503,0.0003316,2.66047055,4.914e-05,206.02048521,0.29781714,99.72665855,0.00654436,43163.0548748,73.90290753,41.77932221951293,0.014769691063590717,42.75687287,0.00124043,42.61389541,0.00123735,23.20021709,0.05252221,12,16,22.59707,42.5513977359,-0.3756882145,-2.2762888412,0.0678243156,0.9004595287,0.3786531664,1.5355323054380437e-06,7.2400660279518864e-09,-7.512009553171743e-08,-4.5271900110681247e-07,3.6872296472340795e-09,2.462154626475546e-08,2.229536072407136e-10,-3.1432571985551817e-10,-3.835947266723698e-09,-1.3874234018954426e-10,1.5597447462004672e-10,3.788266770361945e-09,2.141117425244804e-08,-2.2736063173270892e-10,-1.2340099727751908e-09,1.645779381995581e-07,9.140926122840894e-10,-7.980906375372087e-09,1.6481465259224562e-10,1.2307082221288559e-11,4.386082450376768e-10,b'Classical',b'',7.937989420685232,0.16219281545835676,6.8816358613129065,0.07447292368970818,6.4818216347158195,0.08376339081549644,6.251289823887655,0.09004102527136532,1.0563535593723248,0.399814226597089,0.6303460374252519
b'2001 QE298',43.71324874,0.00473502,0.15532684,6.773e-05,3.65798881,0.00018386,10.67596966,0.05452957,7.75574511,0.00010688,58937.26044189,11.50345482,36.92340790764204,0.006909236720400674,36.94656774,0.00088701,36.96382628,0.00085745,23.28196193,0.05311604,12,16,30.94724,36.2705322239,6.4812607242,2.9607777175,-0.2326156821,0.9665944272,0.4961121933,7.629109020864345e-07,1.253478343738789e-07,5.77184762759943e-08,6.64961782217098e-08,2.876411764393049e-08,1.421043670878485e-08,2.063666618020995e-08,9.487427859169903e-09,1.122576798243989e-08,4.779961444794209e-09,2.3516496510982458e-09,4.402996312618735e-09,5.185329208304169e-09,2.1956740265487916e-09,1.1000725575174657e-09,1.8520768122291857e-08,4.090520427792883e-09,1.940531643601006e-09,1.2943888227686385e-09,6.232923814486174e-10,3.161645890410569e-10,b'Resonant 7:4',b'',8.557146818446027,0.10894687177511848,7.590179452616441,0.06234172828672641,7.337404676126338,0.09171466028383227,6.978360796066509,0.09389317367098214,0.9669673658295854,0.25277477649010227,0.6118186565499292
b'2001 QF298',39.37795977,0.0005322,0.11110883,9.49e-06,22.35193671,2.897e-05,42.19875387,0.01336022,164.1843418,2.876e-05,18990.2712684,3.65999282,35.0027206466574,0.0004975525223119435,43.48945026,0.00015674,43.37065705,0.00015332,21.63838405,0.00999236,18,28,34.92438,42.9112497478,4.5743653086,-4.3259357318,-0.0509923378,0.9029033203,0.0345493966,2.4006291788907187e-08,2.686643852636591e-09,-2.5040048668168527e-09,1.9350562521740347e-09,7.054758543642415e-10,-1.8885401826935242e-10,3.0411794267701057e-10,-2.8015056609622963e-10,2.528739480456792e-10,8.249591668200684e-11,-2.4966442457369764e-11,2.6197171093370875e-10,-2.0087221073515346e-10,-7.350205895615409e-11,1.955878354274947e-11,6.479478792694737e-10,1.0546889361435441e-10,-6.696353679941302e-11,2.575969078968892e-11,-1.0656220278087436e-11,7.156141053290344e-12,b'Resonant 3:2',"b'3,2,-7,0,1,0'",5.6809870971021486,0.024895027630100257,5.232070625092517,0.01873705309910867,5.117759278234955,0.022021256895459175,5.032190173091552,0.03950798790550137,0.44891647200963264,0.11431134685756396,0.19988045200096916
b'2001 QF331',42.25869881,0.00536889,0.25253941,0.00017112,2.67256091,0.0002709,249.48396574,0.05928315,156.77752851,0.00447733,62208.01313686,8.76846066,31.586711778202176,0.010928707480190054,32.31793448,0.00072895,32.43098905,0.00067576,22.83538359,0.056471,10,15,25.41187,31.0341403605,8.9792976229,2.8325601923,-0.4720378487,1.0530167287,0.4131528431,4.958977227687552e-07,1.2761598971200767e-07,3.836710799204558e-08,1.0720307512471724e-07,3.434741970952091e-08,1.0792815588955516e-08,3.2954942420357194e-08,9.886089873705257e-09,2.6197987270518755e-08,8.607767851810506e-09,2.694584772607494e-09,3.0521435114562782e-09,7.791555115846455e-09,2.552482043276988e-09,8.640991399340578e-10,8.827087465560428e-08,2.119038036584098e-08,6.277301631443422e-09,5.345108983470466e-09,1.5826965213515876e-09,5.265534723731418e-10,b'Resonant 5:3',b'',8.656460190858587,0.18561830583351957,7.511246488427242,0.22957842679801277,7.219816977160489,0.2318926945445327,7.24753644211482,0.3967517831414915,1.1452137024313433,0.2914295112667558,0.26371004631242567
